product_name,product_category,brand,company,price,launch_date,first_sale,last_sale,total_units,months_data
CIXIM SUSP DRY 100MG 30ML,CEFIXIME,CIXIM,C1Y,48.0,2015-04-01,2022-12-01,2025-11-01,803457,36
MAGNETT SUSP DRY 100MG 30ML,CEFIXIME,MAGNETT,C.P,233.75,2002-07-01,2022-12-01,2025-11-01,783365,36
CEFORAL-3 SUSP DRY 100MG 30ML,CEFIXIME,CEFORAL-3,ZAF,212.22,2003-10-01,2022-12-01,2025-11-01,780617,36
TIXOMER SUSP DRY 100MG 30ML,CEFIXIME,TIXOMER,MDM,212.14,2021-04-01,2022-12-01,2025-11-01,771549,36
MAXOPHINE SUSP DRY 100MG 30ML,CEFIXIME,MAXOPHINE,GLB,153.0,2003-09-01,2022-12-01,2025-11-01,771438,36
TUCANA SUSP DRY 100MG 30ML,CEFIXIME,TUCANA,AB&,267.61,2021-01-01,2022-12-01,2025-11-01,756507,36
CARICEF SUSP DRY 100MG 60ML,CEFIXIME,CARICEF,SAM,321.15,2004-03-01,2022-12-01,2025-11-01,746972,36
CEFIA SUSP DS 200MG/5ML 30ML,CEFIXIME,CEFIA,CXH,327.25,2019-06-01,2022-12-01,2025-11-01,706769,36
CINKLARE SUSP DRY 100MG 30ML,CEFIXIME,CINKLARE,A.G,255.0,2018-04-01,2022-12-01,2025-11-01,688671,36
MAXPAN CAPS 400MG 5,CEFIXIME,MAXPAN,IND,446.25,2005-05-01,2022-12-01,2025-11-01,688255,36
ICEF SUSP DRY 100MG 30ML,CEFIXIME,ICEF,ICI,267.61,2006-10-01,2022-12-01,2025-11-01,684986,36
TUCANA CAPS 400MG 5,CEFIXIME,TUCANA,AB&,479.54,2021-01-01,2022-12-01,2025-11-01,655896,36
CEZOX CAPS 400MG 5,CEFIXIME,CEZOX,AP&,402.68,2019-02-01,2022-12-01,2025-11-01,651418,36
CEZOX SUSP DRY 100MG 30ML,CEFIXIME,CEZOX,AP&,223.04,2019-02-01,2022-12-01,2025-11-01,645861,36
MAGNETT CAPS 400MG 5,CEFIXIME,MAGNETT,C.P,425.0,2002-07-01,2022-12-01,2025-11-01,645337,36
PROCEF SUSP DRY 100MG 30ML,CEFIXIME,PROCEF,PHD,242.25,2004-03-01,2022-12-01,2025-11-01,632568,36
LINZIM CAPS 400MG 5,CEFIXIME,LINZIM,L3Z,464.94,2005-04-01,2022-12-01,2025-11-01,597301,36
MAXIMA SUSP DRY D.S 200MG 30ML,CEFIXIME,MAXIMA,MTR,283.82,2007-07-01,2022-12-01,2025-11-01,547233,36
FIXITIL CAPS 400MG 5,CEFIXIME,FIXITIL,T9P,424.15,2000-11-01,2022-12-01,2025-11-01,521136,36
ORPASE TABS 400MG 5,CEFIXIME,ORPASE,MD.,336.6,2011-03-01,2022-12-01,2025-11-01,520162,36
MAXIMA TABS 200MG 10,CEFIXIME,MAXIMA,MTR,398.24,2009-08-01,2022-12-01,2025-11-01,519653,36
FIXICEF SUSP DRY D.S 200MG 30ML,CEFIXIME,FIXICEF,AT3,302.96,2017-01-01,2022-12-01,2025-11-01,488127,36
CEFIX SUSP DRY 100MG 30ML,CEFIXIME,CEFIX,STH,230.35,2001-01-01,2022-12-01,2025-11-01,482563,36
MAGNETT SUSP DRY D.S 200MG 30ML,CEFIXIME,MAGNETT,C.P,280.5,2002-07-01,2022-12-01,2025-11-01,471840,36
IBOXIME SUSP DRY 200MG 30ML,CEFIXIME,IBOXIME,HHC,314.5,2019-03-01,2022-12-01,2025-11-01,462121,36
WAYBAC SUSP DRY D.S 200MG 30ML,CEFIXIME,WAYBAC,WOO,214.03,2009-01-01,2022-12-01,2025-11-01,460359,36
FIXITIL SUSP DRY D.S 200MG 30ML,CEFIXIME,FIXITIL,T9P,275.4,2007-01-01,2022-12-01,2025-11-01,456120,36
CEBOSH CAPS 200MG 10,CEFIXIME,CEBOSH,B6H,416.5,2022-06-01,2022-12-01,2025-11-01,452600,36
CEFIDON SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFIDON,DOV,327.5,2018-10-01,2022-12-01,2025-11-01,451410,36
SCAVIA SUSP DRY 100MG 30ML,CEFIXIME,SCAVIA,SUG,242.48,2007-07-01,2022-12-01,2025-11-01,448868,36
FIXICEF CAPS 400MG 5,CEFIXIME,FIXICEF,AT3,434.53,2017-01-01,2022-12-01,2025-11-01,440613,36
DISPEL SUSP DRY 100MG 30ML,CEFIXIME,DISPEL,FYK,242.25,2009-02-01,2022-12-01,2025-11-01,432888,36
TIXOMER CAPS 400MG 5,CEFIXIME,TIXOMER,MDM,379.31,2021-04-01,2022-12-01,2025-11-01,421422,36
ORPASE SUSP DRY 200MG 30ML,CEFIXIME,ORPASE,MD.,311.44,2005-07-01,2022-12-01,2025-11-01,419451,36
CEFEXOL SUSP DS 200MG 30ML,CEFIXIME,CEFEXOL,NQM,317.52,2005-06-01,2022-12-01,2025-11-01,407212,36
TUCANA SUSP DRY D.S 200MG 30ML,CEFIXIME,TUCANA,AB&,327.5,2021-01-01,2022-12-01,2025-11-01,405057,36
SIVAROL SUSP DRY D.S 200MG 30ML,CEFIXIME,SIVAROL,BLO,382.5,2020-04-01,2022-12-01,2025-11-01,401201,36
TAVIZEM SUSP DRY 100MG 30ML,CEFIXIME,TAVIZEM,GLB,170.0,2021-04-01,2022-12-01,2025-11-01,380645,36
CEFIDON CAPS 400MG 5,CEFIXIME,CEFIDON,DOV,479.54,2018-10-01,2022-12-01,2025-11-01,368555,36
CIXIM CAPS 400MG 5,CEFIXIME,CIXIM,C1Y,95.0,2015-04-01,2022-12-01,2025-11-01,361953,36
FIXITIL TABS F.C. 200MG 10,CEFIXIME,FIXITIL,T9P,424.15,2007-01-01,2022-12-01,2025-11-01,359177,36
TIXOMER SUSP DRY D.S 200MG 30ML,CEFIXIME,TIXOMER,MDM,331.5,2021-04-01,2022-12-01,2025-11-01,341919,36
CEBOSH SUSP DRY 100MG 60ML,CEFIXIME,CEBOSH,B6H,304.3,2003-03-01,2022-12-01,2025-11-01,341688,36
CEFIMAX SUSP DRY 100MG 30ML,CEFIXIME,CEFIMAX,PDH,178.5,2012-09-01,2022-12-01,2025-11-01,340098,36
CEZOX SUSP DRY D.S 200MG 30ML,CEFIXIME,CEZOX,AP&,296.74,2019-02-01,2022-12-01,2025-11-01,340004,36
CEFIM CAPS 200MG 10,CEFIXIME,CEFIM,HL.,509.32,2007-09-01,2022-12-01,2025-11-01,329620,36
X-FIX CAPS 400MG 5,CEFIXIME,X-FIX,GX4,467.5,2019-03-01,2022-12-01,2025-11-01,328602,36
CINKLARE SUSP DRY 200MG 30ML,CEFIXIME,CINKLARE,A.G,306.0,2018-04-01,2022-12-01,2025-11-01,319831,36
OMIXIM SUSP DRY 200MG 30ML,CEFIXIME,OMIXIM,SEA,314.5,2008-08-01,2022-12-01,2025-11-01,314240,36
FIXITIL TABS F.DS 400MG 5,CEFIXIME,FIXITIL,T9P,424.15,2017-08-01,2022-12-01,2025-11-01,306293,36
RETAFIM SUSP DRY 100MG 30ML,CEFIXIME,RETAFIM,AMV,226.98,2022-07-01,2022-12-01,2025-11-01,305703,36
FLEXERIL SUSP DRY D.S 200MG 30ML,CEFIXIME,FLEXERIL,GLB,255.0,2009-07-01,2022-12-01,2025-11-01,304860,36
OMIXIM CAPS 400MG 5,CEFIXIME,OMIXIM,SEA,420.76,2008-08-01,2022-12-01,2025-11-01,304692,36
CEFLOREX SUSP DRY 100MG 30ML,CEFIXIME,CEFLOREX,P1P,213.32,2003-09-01,2022-12-01,2025-11-01,298238,36
FIXVAL SUSP DRY 100MG 30ML,CEFIXIME,FIXVAL,GSK,245.19,2011-11-01,2022-12-01,2025-11-01,287697,36
XIVAL SUSP DRY 100MG 30ML,CEFIXIME,XIVAL,SIZ,109.65,2002-10-01,2022-12-01,2025-11-01,278211,36
CIXIM SUSP DRY D.S 200MG 30ML,CEFIXIME,CIXIM,C1Y,72.0,2015-04-01,2022-12-01,2025-11-01,268377,36
X-FIX SUSP DRY D.S 200MG 30ML,CEFIXIME,X-FIX,GX4,295.6,2019-04-01,2022-12-01,2025-11-01,261229,36
TYCEF SUSP DRY 100MG 30ML,CEFIXIME,TYCEF,HX4,221.0,2003-06-01,2022-12-01,2025-11-01,256467,36
REFSPAN CAPS 400MG 5,CEFIXIME,REFSPAN,RPH,248.63,2009-04-01,2022-12-01,2025-11-01,245439,36
MAXPAN CAPS 200MG 10,CEFIXIME,MAXPAN,IND,467.5,2006-03-01,2022-12-01,2025-11-01,244453,36
ICEF CAPS 400MG 5,CEFIXIME,ICEF,ICI,479.54,2006-10-01,2022-12-01,2025-11-01,238695,36
CEFEXOL CAPS 400MG 5,CEFIXIME,CEFEXOL,NQM,309.95,2000-09-01,2022-12-01,2025-11-01,238610,36
SIVAROL CAPS 400MG 5,CEFIXIME,SIVAROL,BLO,471.47,2020-04-01,2022-12-01,2025-11-01,238201,36
CEFIX CAPS 400MG 5,CEFIXIME,CEFIX,STH,348.5,2001-01-01,2022-12-01,2025-11-01,237980,36
CINKLARE CAPS 400MG 5,CEFIXIME,CINKLARE,A.G,403.75,2018-04-01,2022-12-01,2025-11-01,236905,36
CEFIX SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFIX,STH,280.5,2007-07-01,2022-12-01,2025-11-01,236737,36
RUWIN SUSP DRY 100MG 30ML,CEFIXIME,RUWIN,SHM,259.46,2016-02-01,2022-12-01,2025-11-01,236607,36
SIVAROL SUSP DRY 100MG 30ML,CEFIXIME,SIVAROL,BLO,263.11,2020-04-01,2022-12-01,2025-11-01,229225,36
EVOFIX SUSP DRY 100MG 30ML,CEFIXIME,EVOFIX,PV-,242.25,2011-04-01,2022-12-01,2025-11-01,227553,36
ICEF SUSP DRY D.S 200MG 30ML,CEFIXIME,ICEF,ICI,327.37,2006-10-01,2022-12-01,2025-11-01,226551,36
VFIX SUSP DRY 100MG 30ML,CEFIXIME,VFIX,F&R,246.78,2012-10-01,2022-12-01,2025-11-01,224388,36
SCIFIX SUSP DRY 100MG 30ML,CEFIXIME,SCIFIX,SC1,212.5,2011-06-01,2022-12-01,2025-11-01,223454,36
SCAVIA CAPS 400MG 5,CEFIXIME,SCAVIA,SUG,423.3,2007-07-01,2022-12-01,2025-11-01,215734,36
PROCEF TABS F.C. 400MG 5,CEFIXIME,PROCEF,PHD,397.8,2018-03-01,2022-12-01,2025-11-01,215580,36
SYNOCEF SUSP DRY 100MG 30ML,CEFIXIME,SYNOCEF,SY2,106.25,2012-07-01,2022-12-01,2025-11-01,215409,36
TYCEF CAPS 400MG 5,CEFIXIME,TYCEF,HX4,382.5,2003-06-01,2022-12-01,2025-11-01,212621,36
WAYBAC CAPS 400MG 5,CEFIXIME,WAYBAC,WOO,313.4,2009-01-01,2022-12-01,2025-11-01,212412,36
MAGNETT TABS 200MG 10,CEFIXIME,MAGNETT,C.P,425.0,2009-04-01,2022-12-01,2025-11-01,209691,36
SEFIXIM SUSP DRY 100MG 30ML,CEFIXIME,SEFIXIM,EVO,230.35,2020-03-01,2022-12-01,2025-11-01,196456,36
VEFIXIM SUSP DRY 100MG 30ML,CEFIXIME,VEFIXIM,VGP,153.0,2010-11-01,2022-12-01,2025-11-01,190015,36
CEFTAS SUSP DRY 100MG 30ML,CEFIXIME,CEFTAS,P/P,242.25,2003-08-01,2022-12-01,2025-11-01,185511,36
GODICEF SUSP DRY 100MG 30ML,CEFIXIME,GODICEF,SAF,218.8,2023-06-01,2022-12-01,2025-11-01,180838,36
GLIXIM SUSP DRY 100MG 30ML,CEFIXIME,GLIXIM,G6Z,183.57,2008-05-01,2022-12-01,2025-11-01,177492,36
FLEXERIL CAPS 400MG 5,CEFIXIME,FLEXERIL,GLB,242.25,2004-08-01,2022-12-01,2025-11-01,172871,36
CILI-CEF SUSP DRY 100MG 30ML,CEFIXIME,CILI-CEF,IPM,254.15,2006-05-01,2022-12-01,2025-11-01,169887,36
CEFISCOT SUSP DRY 100MG 30ML,CEFIXIME,CEFISCOT,SC2,212.5,2009-10-01,2022-12-01,2025-11-01,169407,36
RETAFIM SUSP DRY 200MG 30ML,CEFIXIME,RETAFIM,AMV,242.11,2023-06-01,2022-12-01,2025-11-01,166882,36
SCAVIA SUSP DRY D.S 200MG 30ML,CEFIXIME,SCAVIA,SUG,296.74,2009-04-01,2022-12-01,2025-11-01,165178,36
MAXOPHINE CAPS 400MG 5,CEFIXIME,MAXOPHINE,GLB,247.91,2003-09-01,2022-12-01,2025-11-01,164468,36
CEFORAL-3 CAPS 400MG 5,CEFIXIME,CEFORAL-3,ZAF,378.98,2003-10-01,2022-12-01,2025-11-01,162938,36
FIXEF SUSP DRY 100MG 30ML,CEFIXIME,FIXEF,RTX,153.0,2020-04-01,2022-12-01,2025-11-01,162569,36
CEFLOREX SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFLOREX,P1P,266.34,2007-04-01,2022-12-01,2025-11-01,162439,36
RETAFIM CAPS 400MG 5,CEFIXIME,RETAFIM,AMV,409.83,2022-07-01,2022-12-01,2025-11-01,162326,36
CEFIGET SUSP DRY 100MG 60ML,CEFIXIME,CEFIGET,GTZ,341.06,2012-06-01,2022-12-01,2025-11-01,160037,36
EVOFIX CAPS 400MG 10,CEFIXIME,EVOFIX,PV-,714.0,2004-01-01,2022-12-01,2025-11-01,156091,36
MIXCEF CAPS 400MG 5,CEFIXIME,MIXCEF,BIG,276.25,2022-11-01,2022-12-01,2025-11-01,154333,36
CMILE CAPS 400MG 5,CEFIXIME,CMILE,M-R,413.1,2014-02-01,2022-12-01,2025-11-01,153557,36
GLIXIM CAPS 400MG 5,CEFIXIME,GLIXIM,G6Z,442.21,2008-05-01,2022-12-01,2025-11-01,147519,36
BELFIX SUSP DRY 100MG 30ML,CEFIXIME,BELFIX,S+F,153.0,2019-05-01,2022-12-01,2025-11-01,145590,36
FIXEF CAPS 400MG 5,CEFIXIME,FIXEF,RTX,312.8,2020-04-01,2022-12-01,2025-11-01,144967,36
SEFIXIM CAPS 400MG 5,CEFIXIME,SEFIXIM,EVO,413.1,2020-02-01,2022-12-01,2025-11-01,144240,36
MAXOPHINE SUSP DRY PLU 200MG 30ML,CEFIXIME,MAXOPHINE,GLB,203.15,2011-07-01,2022-12-01,2025-11-01,143219,36
GLIXIM TABS 200MG 5,CEFIXIME,GLIXIM,G6Z,177.64,2008-05-01,2022-12-01,2025-11-01,142060,36
BACTIRID CAPS 400MG 5,CEFIXIME,BACTIRID,MDC,297.5,2002-07-01,2022-12-01,2025-11-01,141186,36
SCIFIX CAPS 400MG 5,CEFIXIME,SCIFIX,SC1,378.21,2011-06-01,2022-12-01,2025-11-01,139732,36
CEFIM SUSP DRY 100MG 60ML,CEFIXIME,CEFIM,HL.,318.75,2002-06-01,2022-12-01,2025-11-01,137747,36
REFSPAN SUSP DRY 100MG 30ML,CEFIXIME,REFSPAN,RPH,87.98,2009-04-01,2022-12-01,2025-11-01,135527,36
SEPTIPAN SUSP DRY 100MG 30ML,CEFIXIME,SEPTIPAN,GEO,119.0,2003-05-01,2022-12-01,2025-11-01,135516,36
LINZIM SUSP DRY 100MG 60ML,CEFIXIME,LINZIM,L3Z,300.05,2005-04-01,2022-12-01,2025-11-01,134968,36
GENIXIME SUSP DRY 100MG 30ML,CEFIXIME,GENIXIME,MA&,187.0,2004-01-01,2022-12-01,2025-11-01,132437,36
CEFIX SUSP DRY 100MG 60ML,CEFIXIME,CEFIX,STH,280.5,2002-10-01,2022-12-01,2025-11-01,129058,36
CEFIA CAPS 200MG 10,CEFIXIME,CEFIA,CXH,467.5,2020-01-01,2022-12-01,2025-11-01,128808,36
AFIXIM SUSP DRY 100MG 30ML,CEFIXIME,AFIXIM,ZTA,119.0,2010-05-01,2022-12-01,2025-11-01,128248,36
SCIFIX SUSP DRY D.S 200MG 30ML,CEFIXIME,SCIFIX,SC1,289.0,2011-06-01,2022-12-01,2025-11-01,121385,36
TYCEF SUSP DRY D.S 200MG 30ML,CEFIXIME,TYCEF,HX4,267.75,2010-01-01,2022-12-01,2025-11-01,120596,36
ZIAC CAPS 400MG 5,CEFIXIME,ZIAC,M&I,242.25,2012-07-01,2022-12-01,2025-11-01,119450,36
ZANXIM SUSP DRY D.S 200MG 30ML,CEFIXIME,ZANXIM,MZN,195.5,2011-09-01,2022-12-01,2025-11-01,119178,36
SERVE SUSP DRY 100MG 30ML,CEFIXIME,SERVE,N/P,255.0,2011-03-01,2022-12-01,2025-11-01,118942,36
FIXVAL SUSP DRY 200MG 30ML,CEFIXIME,FIXVAL,GSK,344.01,2011-11-01,2022-12-01,2025-11-01,118043,36
MAXOPHINE CAPS 200MG 10,CEFIXIME,MAXOPHINE,GLB,235.0,2011-03-01,2022-12-01,2025-11-01,114855,36
ZANXIM CAPS 400MG 5,CEFIXIME,ZANXIM,MZN,276.25,2011-09-01,2022-12-01,2025-11-01,113911,36
EVOFIX SUSP DRY D.S 200MG 30ML,CEFIXIME,EVOFIX,PV-,272.85,2008-10-01,2022-12-01,2025-11-01,113713,36
XIVAL CAPS 400MG 5,CEFIXIME,XIVAL,SIZ,211.65,2002-10-01,2022-12-01,2025-11-01,113469,36
GODICEF CAPS 400MG 5,CEFIXIME,GODICEF,SAF,395.05,2023-05-01,2022-12-01,2025-11-01,113452,36
SEPTIPAN SUSP DRY D.S 200MG 30ML,CEFIXIME,SEPTIPAN,GEO,170.0,2006-06-01,2022-12-01,2025-11-01,110053,36
RUWIN SUSP DRY D.S 200MG 30ML,CEFIXIME,RUWIN,SHM,296.75,2016-03-01,2022-12-01,2025-11-01,109873,36
SUREXIME SUSP DRY 100MG 30ML,CEFIXIME,SUREXIME,MDS,215.9,2009-04-01,2022-12-01,2025-11-01,109437,36
M-SPAN SUSP DRY 100MG 30ML,CEFIXIME,M-SPAN,A-V,199.75,2007-08-01,2022-12-01,2025-11-01,105778,36
CEFFEST SUSP DRY 100MG 30ML,CEFIXIME,CEFFEST,F7L,51.0,2013-01-01,2022-12-01,2025-11-01,104474,36
CMILE SUSP DRY 100MG 30ML,CEFIXIME,CMILE,M-R,230.35,2014-02-01,2022-12-01,2025-11-01,102808,36
RUWIN CAPS D.S 400MG 5,CEFIXIME,RUWIN,SHM,434.53,2019-03-01,2022-12-01,2025-11-01,100444,36
MIXO SUSP DRY 100MG 30ML,CEFIXIME,MIXO,MXT,153.0,2018-12-01,2022-12-01,2025-11-01,100238,36
BEXACIM SUSP DRY 100MG 30ML,CEFIXIME,BEXACIM,PLI,119.0,2012-12-01,2022-12-01,2025-11-01,92380,36
WAYBAC CAPS 200MG 5,CEFIXIME,WAYBAC,WOO,175.58,2011-03-01,2022-12-01,2025-11-01,91876,36
OMIXIM TABS 200MG 10,CEFIXIME,OMIXIM,SEA,476.0,2016-07-01,2022-12-01,2025-11-01,89771,36
WELXIME SUSP DRY 100MG 30ML,CEFIXIME,WELXIME,GLB,119.0,2013-04-01,2022-12-01,2025-11-01,88959,36
ORPASE TABS 200MG 10,CEFIXIME,ORPASE,MD.,542.44,2008-03-01,2022-12-01,2025-11-01,88232,36
CEFIMAX SUSP DRY 200MG 30ML,CEFIXIME,CEFIMAX,PDH,229.5,2012-09-01,2022-12-01,2025-11-01,88180,36
ROFIL CAPS 200MG 10,CEFIXIME,ROFIL,AOS,125.0,2020-02-01,2022-12-01,2025-11-01,88021,36
VEFIXIM SUSP DRY D.S 200MG 30ML,CEFIXIME,VEFIXIM,VGP,203.15,2020-09-01,2022-12-01,2025-11-01,87477,36
CEFAMAX CAPS 400MG 5,CEFIXIME,CEFAMAX,PUP,297.5,2006-05-01,2022-12-01,2025-11-01,87453,36
CEFIA SUSP 100MG/5ML 60ML,CEFIXIME,CEFIA,CXH,380.8,2019-06-01,2022-12-01,2025-11-01,86689,36
DISPEL SUSP DRY D.S 200MG 30ML,CEFIXIME,DISPEL,FYK,267.75,2019-08-01,2022-12-01,2025-11-01,85070,36
MAXIMA SUSP DRY 100MG 60ML,CEFIXIME,MAXIMA,MTR,279.31,2013-10-01,2022-12-01,2025-11-01,84340,36
EPAN SUSP DRY 100MG 30ML,CEFIXIME,EPAN,EP5,109.65,2019-12-01,2022-12-01,2025-11-01,83636,36
CEFIX CAPS 200MG 5,CEFIXIME,CEFIX,STH,204.0,2009-04-01,2022-12-01,2025-11-01,83090,36
VFIX CAPS 400MG 5,CEFIXIME,VFIX,F&R,442.22,2012-10-01,2022-12-01,2025-11-01,82344,36
BIOZIL SUSP DRY 100MG 30ML,CEFIXIME,BIOZIL,BI-,259.25,2012-09-01,2022-12-01,2025-11-01,81765,36
